"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,36949.0019818137,0.44855239100434,0.22427619550217,0,0,0,0,1.68492895961878,9.60894843334088,0.00961856700034123,20.720319306503,0.00410136058238083,0,0,0,0,0,0,0,0,0,0
"2",1,0,36949.0019818137,0.44900376108003,0.22251066865863,0,0,0,2.67907205218404e-08,1.68415812908792,9.60972352722584,0.0126089877944603,20.7194081003709,0.00333201254332052,0,0,0,0,0,0,0,0,0,0
"3",2,0,36949.0019818137,0.449339012382114,0.220598136721897,0,0,0,2.62622345413835e-08,1.68315672634061,9.61056790670896,0.0158324827979068,20.7179806775672,0.00327024477084215,0,0,0,0,0,0,0,0,0,0
"4",3,0,36949.0019818137,0.449656298814207,0.218650620679939,0,0,0,2.63192853638161e-08,1.68209908071297,9.61143287109257,0.0190974157626988,20.7165305676574,0.00327833251272232,0,0,0,0,0,0,0,0,0,0
"5",4,0,36949.0019818137,0.449936709528219,0.216570064167912,0,0,0,2.65393104570523e-08,1.68089492299427,9.61236276000787,0.0225656053694154,20.7151083950681,0.00330672987669519,0,0,0,0,0,0,0,0,0,0
"6",5,0,36949.0019818137,0.450148614251721,0.214224908354409,0,0,0,2.68234975846633e-08,1.6794136983444,9.61341819620561,0.0264497531269172,20.7137467932798,0.00334322316541863,0,0,0,0,0,0,0,0,0,0
"7",6,0,36949.0019818137,0.450367829250342,0.211912083838892,0,0,0,2.69922922467749e-08,1.67794223162661,9.61446677157848,0.0302538953989358,20.7124370481171,0.00336532674915868,0,0,0,0,0,0,0,0,0,0
"8",7,0,36949.0019818137,0.450702595316777,0.210051783125379,0,0,0,2.68292505596107e-08,1.67690151788019,9.61531595658401,0.033294447072742,20.7111330121833,0.0033458745601333,0,0,0,0,0,0,0,0,0,0
"9",8,0,36949.0019818137,0.451092244631888,0.208427479905785,0,0,0,2.68507926438649e-08,1.67607837587778,9.61606185428197,0.0359354194988472,20.709800446189,0.00334936631571186,0,0,0,0,0,0,0,0,0,0
"10",9,0,36949.0019818137,0.451478192054661,0.206796803855439,0,0,0,2.6910598481705e-08,1.67523548608151,9.61681492867879,0.0385736400722396,20.708488524701,0.00335761119752498,0,0,0,0,0,0,0,0,0,0
